,make_model,hp_kW,km,age,price,Gearing_Type,Gears
0,Audi A1,66.0,56013.0,3.0,15770,Automatic,7.0
1,Audi A1,141.0,80000.0,2.0,14500,Automatic,7.0
2,Audi A1,85.0,83450.0,3.0,14640,Automatic,7.0
3,Audi A1,66.0,73000.0,3.0,14500,Automatic,6.0
4,Audi A1,66.0,16200.0,3.0,16790,Automatic,7.0
5,Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
6,Audi A1,85.0,62111.0,3.0,16422,Automatic,7.0
7,Audi A1,66.0,14986.0,3.0,14480,Automatic,7.0
8,Audi A1,85.0,57000.0,3.0,16700,Automatic,7.0
9,Audi A1,70.0,16103.0,2.0,17990,Automatic,7.0
10,Audi A1,85.0,11300.0,1.0,18500,Automatic,7.0
11,Audi A1,92.0,26415.0,3.0,17990,Automatic,7.0
12,Audi A1,92.0,31600.0,3.0,18380,Automatic,7.0
13,Audi A1,112.0,45764.0,3.0,18399,Automatic,7.0
14,Audi A1,70.0,34914.0,3.0,17990,Automatic,7.0
15,Audi A1,85.0,27000.0,3.0,18700,Automatic,7.0
16,Audi A1,85.0,9752.0,1.0,18900,Automatic,5.0
17,Audi A1,66.0,28408.0,2.0,18500,Automatic,7.0
18,Audi A1,70.0,50280.0,3.0,18400,Automatic,7.0
19,Audi A1,85.0,13406.0,1.0,18500,Automatic,7.0
20,Audi A1,85.0,51160.0,2.0,18500,Automatic,7.0
21,Audi A1,92.0,15850.0,3.0,18500,Automatic,7.0
22,Audi A1,92.0,17000.0,3.0,18900,Automatic,7.0
23,Audi A1,85.0,9077.0,1.0,18850,Automatic,7.0
24,Audi A1,70.0,3000.0,1.0,18500,Automatic,7.0
25,Audi A1,70.0,115000.0,3.0,8999,Manual,5.0
26,Audi A1,70.0,84029.0,3.0,11444,Manual,5.0
27,Audi A1,70.0,67800.0,3.0,11300,Manual,5.0
28,Audi A1,66.0,14556.0,1.0,18900,Automatic,7.0
29,Audi A1,70.0,22000.0,3.0,11290,Manual,5.0
30,Audi A1,66.0,38400.0,3.0,11290,Manual,5.0
31,Audi A1,66.0,83307.0,3.0,11440,Manual,5.0
32,Audi A1,70.0,39668.0,3.0,11445,Manual,5.0
33,Audi A1,66.0,30353.0,3.0,11700,Manual,5.0
34,Audi A1,66.0,126000.0,3.0,11900,Manual,5.0
35,Audi A1,70.0,57500.0,3.0,11949,Manual,5.0
36,Audi A1,70.0,73945.0,3.0,11890,Manual,5.0
37,Audi A1,66.0,96000.0,2.0,11600,Manual,5.0
38,Audi A1,60.0,43120.0,3.0,11900,Manual,5.0
39,Audi A1,66.0,110715.0,3.0,11630,Manual,5.0
40,Audi A1,60.0,31971.0,3.0,11880,Manual,5.0
41,Audi A1,66.0,94800.0,3.0,11800,Manual,5.0
42,Audi A1,66.0,85000.0,3.0,11850,Manual,5.0
43,Audi A1,66.0,111265.0,3.0,11569,Manual,5.0
44,Audi A1,66.0,44120.0,3.0,11490,Manual,5.0
45,Audi A1,70.0,97976.0,3.0,11490,Manual,5.0
46,Audi A1,66.0,106000.0,3.0,11500,Manual,5.0
47,Audi A1,85.0,60000.0,3.0,11790,Manual,5.0
48,Audi A1,60.0,58000.0,3.0,11490,Manual,5.0
49,Audi A1,60.0,57454.0,3.0,11470,Manual,5.0
50,Audi A1,66.0,94055.0,3.0,11480,Manual,5.0
51,Audi A1,70.0,56000.0,3.0,11180,Manual,5.0
52,Audi A1,70.0,27600.0,3.0,11450,Manual,5.0
53,Audi A1,85.0,111670.0,3.0,11100,Manual,5.0
54,Audi A1,66.0,30500.0,3.0,10900,Manual,5.0
55,Audi A1,70.0,69500.0,2.0,10999,Manual,5.0
56,Audi A1,60.0,43500.0,3.0,10900,Manual,5.0
57,Audi A1,70.0,45696.0,3.0,10950,Manual,5.0
58,Audi A1,66.0,34000.0,3.0,10800,Manual,5.0
